phase,epoch,train_loss,r_valence,r_arousal,r_dominance,mean_pearson,best_so_far
phase1,1,2.189529,0.471887,0.135879,0.207122,0.271629,0.271629
phase1,2,0.659149,0.535563,0.282841,0.320973,0.379792,0.379792
phase1,3,0.621694,0.54727,0.295114,0.313772,0.385385,0.385385
phase1,4,0.605132,0.561204,0.316954,0.318967,0.399041,0.399041
phase1,5,0.592149,0.564752,0.317584,0.318672,0.400336,0.400336
phase2,1,0.567058,0.624923,0.377232,0.331023,0.444393,0.444393
phase2,2,0.49521,0.652521,0.429002,0.355466,0.478996,0.478996
phase2,3,0.453195,0.684661,0.452232,0.383575,0.506823,0.506823
phase2,4,0.401949,0.688983,0.441986,0.357018,0.495996,0.506823
phase2,5,0.366993,0.7006,0.464705,0.37613,0.513812,0.513812
phase2,6,0.342833,0.703877,0.443532,0.359124,0.502178,0.513812
phase2,7,0.319653,0.704391,0.442209,0.37333,0.506643,0.513812
phase2,8,0.304808,0.712619,0.447871,0.389778,0.516756,0.516756
phase2,9,0.28612,0.70716,0.456132,0.375517,0.512936,0.516756
phase2,10,0.27623,0.711893,0.463959,0.372256,0.516036,0.516756
phase2,11,0.262723,0.7222,0.46601,0.378616,0.522276,0.522276
phase2,12,0.255921,0.711774,0.466239,0.391123,0.523045,0.523045
phase2,13,0.246707,0.714473,0.461447,0.374606,0.516842,0.523045
phase2,14,0.244484,0.7162,0.459828,0.371043,0.51569,0.523045
phase2,15,0.237021,0.715442,0.458557,0.366272,0.513424,0.523045
test,-,-,0.72547,0.493958,0.480773,0.566733,-
